area_level1_name,area_level2_name,operator_name,sample_origin_4g_ios,sample_count_4g_ios,device_count_4g_ios,avg_dl_4g_ios,sample_origin_4g_ad,sample_count_4g_ad,device_count_4g_ad,avg_dl_4g_ad,sample_origin_ip12_5g,sample_count_ip12_5g,device_count_ip12_5g,avg_dl_ip12_5g,sample_origin_ip12_fb,sample_count_ip12_fb,device_count_ip12_fb,avg_dl_ip12_fb,sample_origin_ip12_lk,sample_count_ip12_lk,device_count_ip12_lk,avg_dl_ip12_lk,sample_origin_ad_5g,sample_count_ad_5g,device_count_ad_5g,avg_dl_ad_5g,sample_origin_ad_fb,sample_count_ad_fb,device_count_ad_fb,avg_dl_ad_fb,sample_origin_ad_lk,sample_count_ad_lk,device_count_ad_lk,avg_dl_ad_lk
Finland Proper,Åboland-Turunmaa,Telia,196,151,76,45.4,349,242,142,39,0,0,0,0,3,3,3,63,23,17,15,66.6,6,5,4,164.1,17,11,6,62.8,45,31,9,61.4
Leningrad Oblast,Vyborgsky District,Tele2,8,8,4,19,54,32,14,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,4
South Karelia,Western Saimaa,Telia,93,68,48,50.9,249,176,93,49.1,0,0,0,0,1,1,1,9.5,5,4,3,46,0,0,0,0,9,6,4,82,16,13,5,48.6
Southern Ostrobothnia,Northern Seinänaapuri,Elisa,647,471,287,67.4,2071,1415,653,63.2,177,123,50,256.7,27,24,17,116.5,83,67,35,95.4,441,269,112,248.7,218,153,79,66.8,80,52,34,61.7
Pirkanmaa,Jämsä,Elisa,11,10,9,22.4,64,40,24,27.3,0,0,0,0,1,1,1,0.3,2,2,1,59.7,0,0,0,0,5,4,2,22.7,6,3,3,32.6
Central Finland,Viitasaari,DNA,27,22,14,15,137,94,46,30.5,0,0,0,0,0,0,0,0,1,1,1,22.3,3,2,2,217.3,3,3,3,20,38,30,5,64
Finland Proper,Vakka-Suomi,DNA,137,97,56,35.2,555,348,152,40.9,0,0,0,0,2,2,2,55.5,47,32,14,73.5,8,6,4,209.6,22,20,14,76.3,35,23,11,40.6
Pirkanmaa,South Western Pirkanm,Telia,52,42,31,46.6,298,175,93,46,0,0,0,0,2,2,2,47.6,13,9,5,28.2,9,4,4,276.5,9,9,6,67.7,3,3,3,65.2
Tavastia Proper,Riihimäki,DNA,205,155,71,74.3,578,408,202,39.9,10,9,3,97.8,8,8,4,98.6,22,16,5,55.5,8,6,6,342.4,57,37,18,36.1,50,31,12,34.5
Republic of Karelia,Loukhsky District,MegaFon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ostrobothnia,Vaasa,DNA,272,200,109,65.9,1000,651,278,52,11,9,7,300,12,12,8,131,18,12,7,71.6,68,40,21,385.4,65,47,18,50.4,42,33,23,69.4
Finland Proper,Loimaa,Telia,201,154,84,48.6,652,362,153,40,0,0,0,0,9,4,3,134.8,39,29,15,41.4,1,1,1,219.9,25,18,6,35.6,47,31,14,29.8
Northern Ostrobothnia,Koillismaa,Elisa,259,193,143,43.8,514,321,198,35.8,56,38,22,224.8,5,5,5,77.5,26,24,18,56.9,52,46,31,212.4,31,22,17,44.8,49,32,13,30.8
Päijänne Tavastia,Lahti,ALCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Savonia,Varkaus,Telia,12,5,3,18.5,41,22,8,16.2,0,0,0,0,1,1,1,68.2,0,0,0,0,0,0,0,0,0,0,0,0,16,10,2,14.7
Päijänne Tavastia,Lahti,DNA,1303,907,468,62.7,3613,2425,1010,58.9,169,131,45,285.1,152,114,36,123.2,172,127,59,116.7,791,357,120,376.9,498,325,104,64.9,337,259,114,70.7
Pirkanmaa,Tampere,DNA,1649,1219,665,80.6,4412,2828,1282,75.4,310,212,111,295.2,196,123,55,132.4,182,126,73,140.6,796,391,165,343.4,676,401,127,91.1,296,224,127,89.7
Ostrobothnia,Jakobstadsregionen,DNA,105,83,51,39.8,381,305,140,36.8,1,1,1,421.1,2,2,2,24.1,29,20,9,51.4,18,9,5,430.9,26,21,9,56.6,41,28,11,53.7
Finland Proper,Åboland-Turunmaa,Elisa,133,91,66,46.1,405,271,129,40.2,2,1,1,63.8,13,13,4,63.4,7,7,5,42.1,24,20,10,158.6,65,46,17,58.4,11,7,5,52.8
North Savonia,Upper Savonia,DNA,129,96,57,58.2,775,475,201,56.8,0,0,0,0,5,4,3,66.4,18,15,4,81.4,5,4,4,189.2,35,27,10,71.4,40,35,17,54
Kymenlaakso,Kotka-Hamina,Elisa,763,505,231,59.9,2036,1144,480,52.3,101,61,18,210,22,18,12,81.1,79,57,31,83.1,319,181,63,201.7,440,255,80,63.5,125,72,40,42.7
Southern Ostrobothnia,Härmänmaa,Elisa,250,180,76,48.6,778,492,217,47.5,10,4,2,264.6,34,29,6,57.2,34,24,5,73,33,23,16,218.3,119,59,24,72.7,47,43,15,42.7
