PostCode,NAME_1,NAME_2,NAME_3,NAME_4,PostCode_Name,Surface_Area,Inhabitants,Inhabitants_Density,Average_age,Average_income,Accumulated_purchasing_power,Buildings,Building_Density,Inhabitants_per_Building,Enterprise_Density,Enterprise_Total
34420,Western Finland,Pirkanmaa,Upper Pirkanmaa,Ruovesi,34420  Muroleen Kanava (Ruovesi),26140977,45,2,55,28914,1156566,51,2,1,0,11
34430,Western Finland,Pirkanmaa,Upper Pirkanmaa,Ruovesi,34430  Kekkonen (Ruovesi),48249049,122,3,47,25425,2567927,103,2,1,0,19
34450,Western Finland,Pirkanmaa,Upper Pirkanmaa,Ruovesi,34450  Jäminkipohja (Ruovesi),112567223,306,3,53,23556,6360232,293,3,1,1,114
34510,Western Finland,Pirkanmaa,Upper Pirkanmaa,Kuru,34510  Luode (Ylöjärvi),71217407,101,1,49,19710,1596493,75,1,1,0,23
34530,Western Finland,Pirkanmaa,Upper Pirkanmaa,Kuru,34530  Länsi-Aure (Ylöjärvi),45485477,65,1,49,21458,1115803,62,1,1,1,46
34550,Western Finland,Pirkanmaa,Upper Pirkanmaa,Kuru,34550  Itä-Aure (Ylöjärvi),209305990,147,1,57,19224,2614420,134,1,1,0,25
34600,Western Finland,Pirkanmaa,Upper Pirkanmaa,Ruovesi,34600  Ruovesi Keskus-Nenonen (Ruovesi),215830060,2436,11,52,21579,44797427,1280,6,2,5,1109
34640,Western Finland,Pirkanmaa,Upper Pirkanmaa,Ruovesi,34640  Mustajärvi (Ruovesi),75806474,189,2,47,23022,3522399,162,2,1,0,15
34710,Western Finland,Pirkanmaa,Upper Pirkanmaa,Virrat,34710  Vaskivesi (Virrat),112391300,336,3,47,23190,6354180,258,2,1,1,69
34730,Western Finland,Pirkanmaa,Upper Pirkanmaa,Virrat,34730  Vaskuu (Virrat),108886621,104,1,54,21526,1980387,102,1,1,0,10
34740,Western Finland,Pirkanmaa,Upper Pirkanmaa,Virrat,34740  Koro (Virrat),26277725,70,3,58,22728,1431847,82,3,1,0,0
