Site_ID,Vendor,Longitude,Latitude,Type,Total_Sites,Swapped_Sites,Swapped_5G
2G10681,H,22.300746,60.419138,GUL,1,1,0
2G10685,E,21.470527,61.238548,GUL,1,0,0
2G10688,H,22.053451,60.484120,GULN,1,1,1
2G10693,H,22.200600,60.490730,GULN,1,1,1
2G10694,H,22.134923,60.485423,GUL,1,1,0
2G10695,H,22.230110,60.496186,GULN,1,1,1
2G10698,E,21.590752,60.962618,GUL,1,0,0
2G10699,H,22.286674,60.486430,GUL,1,1,0
2G10702,E,21.493181,61.101404,GUL,1,0,0
2G10703,E,22.089716,60.774968,GUL,1,0,0
2G10706,E,21.506964,61.128633,GUL,1,0,0
2G10710,E,21.683688,60.690980,GUL,1,0,0
2G10711,E,21.818843,60.652884,GUL,1,0,0
2G10713,E,21.467186,61.153819,GUL,1,0,0
2G10714,E,21.514581,61.137268,GUL,1,0,0
2G10719,E,21.511350,61.130702,GUL,1,0,0
2G10720,E,21.527565,61.129921,GUL,1,0,0
2G10721,H,21.451955,61.129352,GULN,1,1,1
2G10724,E,22.150070,61.311074,GUL,1,0,0
2G10725,E,21.790195,61.487580,U,1,0,0
2G10727,E,23.594424,60.814900,GULN,1,0,0
2G10728,E,21.502036,61.128082,U,1,0,0
2G10729,H,22.096960,60.570756,GUL,1,1,0
2G10730,E,22.133414,61.316054,U,1,0,0
2G10732,E,21.984050,60.678156,GUL,1,0,0
2G10737,E,22.143040,61.127712,U,1,0,0
2G10738,E,22.143040,61.127712,U,1,0,0
2G10739,E,22.143040,61.127711,UL,1,0,0
2G10740,E,21.895014,61.498832,U,1,0,0
2G10741,E,21.485815,61.136770,GUL,1,0,0
2G10743,E,21.530513,61.123650,GUL,1,0,0
2G10745,H,21.497719,61.130425,GULN,1,1,1
2G10748,E,21.502036,61.128082,U,1,0,0
2G10752,E,21.903354,61.432920,GUL,1,0,0
2G10759,E,22.143040,61.127712,U,1,0,0
2G10849,E,21.502035,61.128081,L,1,0,0
2G10850,H,22.892730,61.355416,GULN,1,1,1
2G10851,E,23.057884,61.398551,GUL,1,0,0
2G10852,E,23.100851,61.453695,GUL,1,0,0
2G10853,E,23.578593,60.803265,GUL,1,0,0
2G10854,E,23.233060,60.976936,GUL,1,0,0
2G10855,E,23.381488,60.931773,GUL,1,0,0
2G10856,H,22.956769,61.319016,GULN,1,1,1
2G10857,H,23.641483,60.820750,GULN,1,1,1
2G10858,E,23.629643,60.814352,GULN,1,0,0
2G10859,H,23.723778,61.493007,GUL,1,1,0
2G10860,H,23.573169,61.502790,GULN,1,1,1
2G10861,H,23.766771,61.495777,GULN,1,1,1
2G10862,H,23.758768,61.500062,GULN,1,1,1
2G10863,H,23.758868,61.502176,GULN,1,1,1
2G10864,H,23.757153,61.494359,GULN,1,1,1
2G10865,E,23.654126,60.791160,GUL,1,0,0
2G10866,H,23.762731,61.502088,GULN,1,1,1
2G10867,E,23.777053,61.493972,GULN,1,0,0
2G10868,E,23.898131,60.930163,GUL,1,0,0
2G10869,E,23.570114,60.721126,GUL,1,0,0
2G10870,E,24.017886,60.685498,GUL,1,0,0
2G10871,H,24.059912,61.465978,GULN,1,1,1
2G10873,H,23.788562,61.460209,GUL,1,1,0
2G10874,E,24.023681,61.474517,GULN,1,0,0
2G10875,E,23.816581,61.494740,GUL,1,0,0
2G10876,E,23.614868,60.814878,GUL,1,0,0
2G10877,E,23.629034,60.802654,GUL,1,0,0
2G10878,H,23.813398,61.506373,GULN,1,1,1
2G10879,E,23.596502,60.823391,GULN,1,0,0
2G10880,E,23.857486,61.492679,GULN,1,0,0
2G10881,H,23.775294,61.511317,GULN,1,1,1
2G10882,H,23.778809,61.500079,GULN,1,1,1
2G10883,H,23.752836,61.492768,GULN,1,1,1
2G10884,H,23.781138,61.495731,GULN,1,1,1
2G10885,E,23.657790,60.954044,GUL,1,0,0
2G10886,E,22.270190,60.426239,GULN,1,0,0
2G10888,E,22.938535,61.239757,GUL,1,0,0
2G10889,E,23.090683,61.251858,GUL,1,0,0
2G10890,E,23.977862,61.496651,GUL,1,0,0
2G10892,H,23.731113,61.493417,GUL,1,1,0
2G10893,H,22.155385,60.499023,GULN,1,1,1
2G10895,H,23.751486,61.496151,GULN,1,1,1
2G10897,H,23.783258,61.500867,GULN,1,1,1
2G10898,E,23.796405,61.470502,GULN,1,0,0
2G10900,H,23.784860,61.490823,GULN,1,1,1
2G10901,H,23.839096,61.475533,GULN,1,1,1
2G10902,E,23.929101,61.486352,GULN,1,0,0
2G10904,H,22.364962,60.404547,GULN,1,1,1
2G10908,H,22.136848,60.422274,GUL,1,1,0
2G10909,E,21.945007,60.414261,GUL,1,0,0
2G10912,E,23.885135,60.791960,GUL,1,0,0
2G10914,H,23.841586,61.489697,GULN,1,1,1
2G10915,H,23.921277,61.498969,GULN,1,1,1
2G10917,H,22.269493,60.449771,GULN,1,1,1
2G10918,H,22.274664,60.446141,GULN,1,1,1
2G10921,H,22.239801,60.487101,GULN,1,1,1
2G10922,H,22.309550,60.471057,GULN,1,1,1
2G10923,H,22.088258,60.515589,GUL,1,1,0
2G10924,H,22.281215,60.450547,GULN,1,1,1
2G10925,E,22.252961,60.439558,GULN,1,0,0
2G10926,E,22.266131,60.440612,GULN,1,0,0
2G10927,H,22.291580,60.481135,GULN,1,1,1
2G10929,H,22.253554,60.431763,GULN,1,1,1
2G10931,H,22.245756,60.446496,GULN,1,1,1
2G10932,H,22.237393,60.445297,GUL,1,1,0
2G10933,E,22.931649,61.329632,GUL,1,0,0
2G10934,H,22.364061,60.418393,GUL,1,1,0
2G10935,H,22.262858,60.452692,GULN,1,1,1
2G10936,E,22.255676,60.448379,GULN,1,0,0
2G10937,H,22.264343,60.422164,GUL,1,1,0
2G10938,H,22.259319,60.448743,GULN,1,1,1
2G10939,H,22.290012,60.442494,GUL,1,1,0
2G10940,H,22.246445,60.437067,GULN,1,1,1
2G10942,H,22.350574,60.437654,GUL,1,1,0
2G10944,H,22.261672,60.470791,GUL,1,1,0
2G10946,H,22.356598,60.432433,GULN,1,1,1
2G10950,H,22.292370,60.448829,GULN,1,1,1
2G10951,E,23.691975,60.812587,GUL,1,0,0
2G10991,E,24.936513,60.168564,GULN,1,0,0
2G10994,H,24.921678,60.182246,GULN,1,1,1
2G10995,H,24.927031,60.179141,GULN,1,1,1
2G10998,E,24.924477,60.168053,GUL,1,0,0
2G10999,E,24.933479,60.156885,GULN,1,0,0
2G11000,H,24.915010,60.187862,GULN,1,1,1
2G11001,E,27.270743,61.691387,GUL,1,0,0
2G11002,E,27.273912,61.688508,GUL,1,0,0
2G11003,E,27.271637,61.685550,GUL,1,0,0
2G11005,E,27.257979,61.679481,GUL,1,0,0
2G11006,E,27.164076,62.304443,GUL,1,0,0
2G11007,E,27.133547,62.295473,GUL,1,0,0
2G11009,E,27.293088,61.697805,GUL,1,0,0
2G11011,E,27.245792,61.693643,GUL,1,0,0
2G11012,E,27.272243,61.692174,GUL,1,0,0
2G11014,E,27.275337,61.655488,GUL,1,0,0
2G11015,E,27.348543,61.704946,GUL,1,0,0
2G11016,E,27.159186,62.298731,GUL,1,0,0
2G11017,E,27.259200,61.667270,GUL,1,0,0
2G11018,E,27.174971,62.294349,GUL,1,0,0
2G11019,E,27.216067,61.708532,GUL,1,0,0
2G11020,E,27.311751,61.692467,GUL,1,0,0
2G11021,E,27.313249,61.707850,GUL,1,0,0
2G11022,E,27.659058,61.582242,GUL,1,0,0
2G11023,E,26.109319,61.966224,GUL,1,0,0
